at: 2020-03-28 14:52:42.340945 | Back was pressed while in: choosing_photo
at: 2020-03-28 14:52:49.901152 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-28 14:52:53.138000 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-28 14:53:15.259189 | Back was pressed while in: live_video
at: 2020-03-28 14:54:27.219396 | Connected to manager
at: 2020-03-28 14:54:32.183138 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-28 14:54:36.870426 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-28 14:55:18.917041 | Back was pressed while in: live_video
at: 2020-03-28 14:58:31.216461 | Connected to manager
at: 2020-03-28 14:58:45.979792 | Connected to manager
at: 2020-03-28 14:58:47.506387 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-28 14:58:49.358786 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-28 14:59:40.289736 | Connected to manager
at: 2020-03-28 14:59:44.047644 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-28 14:59:44.923728 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-28 15:00:16.179591 | Connected to manager
at: 2020-03-28 15:00:21.903492 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-28 15:00:22.456817 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-28 15:01:27.969669 | Connected to manager
at: 2020-03-28 15:01:31.307813 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-28 15:01:31.840645 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-28 15:03:06.379950 | Connected to manager
at: 2020-03-28 15:03:12.489579 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-28 15:03:13.355763 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-28 15:03:28.146059 | Back was pressed while in: mid_video_camera_dc
at: 2020-03-28 15:03:39.599963 | Connected to manager
at: 2020-03-28 15:03:49.808935 | See photos was pressed while in: build_choose_photo
at: 2020-03-28 15:03:54.981812 | Back was pressed while in: choosing_photo
at: 2020-03-28 15:04:02.220068 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-28 15:04:04.642544 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-28 15:04:07.550134 | Back was pressed while in: live_video
at: 2020-03-28 15:04:08.917675 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-28 15:04:15.324119 | Back was pressed while in: live_video
at: 2020-03-28 15:04:31.880023 | Connected to manager
at: 2020-03-28 15:04:38.896104 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-28 15:04:43.716034 | Refresh was pressed while in: choose_live_camera
at: 2020-03-28 15:04:45.921816 | Refresh was pressed while in: choose_live_camera
at: 2020-03-28 15:04:47.263125 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-28 15:04:58.800236 | Back was pressed while in: mid_video_camera_dc
at: 2020-03-28 15:05:04.667446 | back was pressed while in: choosing_live_camera
at: 2020-03-28 15:05:07.891328 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-28 15:05:11.268794 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-28 15:05:13.591838 | Back was pressed while in: mid_video_camera_dc
at: 2020-03-28 15:07:08.619129 | Connected to manager
at: 2020-03-28 15:07:12.484423 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-28 15:07:13.413919 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-28 15:07:47.426077 | Back was pressed while in: live_video
at: 2020-03-28 15:07:49.364099 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-28 15:15:23.300487 | Connected to manager
at: 2020-03-28 15:15:30.184358 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-28 15:15:31.349647 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-28 15:18:06.510577 | Connected to manager
at: 2020-03-28 15:18:12.060683 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-28 15:18:12.787269 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-28 15:18:24.180214 | Back was pressed while in: mid_video_camera_dc
at: 2020-03-28 15:18:32.928253 | Refresh was pressed while in: choose_live_camera
at: 2020-03-28 15:18:37.516364 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-28 15:20:30.880966 | Connected to manager
at: 2020-03-28 15:20:35.029774 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-28 15:20:35.540560 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-28 15:20:40.459884 | Back was pressed while in: live_video
at: 2020-03-28 15:20:47.899646 | Refresh was pressed while in: choose_live_camera
at: 2020-03-28 15:20:51.117633 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-28 15:21:37.860664 | Connected to manager
at: 2020-03-28 15:21:42.570681 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-28 15:21:43.372353 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-28 15:21:49.794088 | Back was pressed while in: live_video
at: 2020-03-28 15:23:10.392962 | Connected to manager
at: 2020-03-28 15:23:14.477951 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-28 15:23:15.596330 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-28 15:23:28.515050 | Back was pressed while in: mid_video_camera_dc
at: 2020-03-28 15:23:36.319999 | Refresh was pressed while in: choose_live_camera
at: 2020-03-28 15:23:39.313594 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-28 15:24:20.460056 | Connected to manager
at: 2020-03-28 15:24:24.836605 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-28 15:24:25.651099 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-28 15:24:28.576954 | Back was pressed while in: live_video
at: 2020-03-28 15:24:32.805907 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-28 15:27:32.757244 | Connected to manager
at: 2020-03-28 15:27:39.237638 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-28 15:27:40.387683 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-28 15:27:45.535583 | Back was pressed while in: live_video
at: 2020-03-28 15:27:48.032498 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-28 15:27:55.201568 | Back was pressed while in: live_video
at: 2020-03-28 15:28:46.197511 | Connected to manager
at: 2020-03-28 15:28:50.898494 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-28 15:28:51.418773 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-28 15:29:01.743450 | Back was pressed while in: live_video
at: 2020-03-28 15:29:04.686504 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-28 15:30:27.477666 | Connected to manager
at: 2020-03-28 15:30:36.567502 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-28 15:30:38.455988 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-28 15:30:41.326761 | Back was pressed while in: live_video
at: 2020-03-28 15:30:43.041654 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-28 15:31:28.068379 | Connected to manager
at: 2020-03-28 15:31:32.376958 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-28 15:31:37.643255 | Refresh was pressed while in: choose_live_camera
at: 2020-03-28 15:31:40.697020 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-28 15:31:53.682787 | Back was pressed while in: live_video
at: 2020-03-28 15:32:03.217016 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-28 15:32:06.716790 | Back was pressed while in: live_video
at: 2020-03-28 15:32:46.347791 | Connected to manager
at: 2020-03-28 15:32:50.000751 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-28 15:32:50.882892 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-28 15:33:02.784121 | Back was pressed while in: live_video
at: 2020-03-28 15:33:04.799004 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-28 15:53:08.149132 | Connected to manager
at: 2020-03-28 15:53:11.875152 | See photos was pressed while in: build_choose_photo
at: 2020-03-28 15:53:15.277087 | Back was pressed while in: choosing_photo
at: 2020-03-28 15:53:16.320627 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-28 15:53:17.308494 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-28 15:54:48.819134 | Connected to manager
at: 2020-03-28 15:54:57.368587 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-28 15:54:58.095240 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-28 15:56:57.029467 | Connected to manager
at: 2020-03-28 15:57:00.791396 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-28 15:57:01.554135 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-28 19:17:05.170828 | Connected to manager
at: 2020-03-28 19:17:21.301109 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-28 19:17:22.109122 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-30 18:33:12.340512 | Connected to manager
at: 2020-03-30 18:33:18.804917 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-30 18:33:21.913335 | back was pressed while in: choosing_live_camera
at: 2020-03-30 18:33:22.749294 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-30 18:33:23.292337 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-30 18:34:53.402867 | Connected to manager
at: 2020-03-30 18:34:59.642822 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-30 18:35:02.010425 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-30 18:37:39.892011 | Connected to manager
at: 2020-03-30 18:37:56.542588 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-30 18:37:59.124057 | back was pressed while in: choosing_live_camera
at: 2020-03-30 18:38:00.019999 | See photos was pressed while in: build_choose_photo
at: 2020-03-30 18:38:03.353830 | Back was pressed while in: choosing_photo
at: 2020-03-30 18:38:04.120785 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-30 18:38:04.979574 | Camera with name of: Desktop, Was chosen to watch live video
